Rank,Name,Position,Drop,ADP,7-day,AVG Salary,7-day salary
1,Ja'Marr Chase,CinWR,0.5,1.5,0,63.6,3.7,99.9
2,Bijan Robinson,AtlRB,1,3,0.2,60.6,4,99.9
3,Saquon Barkley,PhiRB,0.6,3.6,0,60.7,3.4,99.9
4,Justin JeffersonQ,MinWR,0.8,4.8,-0.1,58.1,3,99.9
5,Jahmyr Gibbs,DetRB,0.3,5.3,0.1,58.1,3.3,99.9
6,CeeDee Lamb,DalWR,0.9,6.9,0.1,55.1,3.1,99.9
7,Christian McCaffrey,SFRB,1,8,0.3,53.4,3.2,99.9
8,Puka Nacua,LARWR,2.3,10.3,-0.1,49.3,1.7,99.9
9,Amon-Ra St. Brown,DetWR,1.4,10.4,0.1,51,2.8,99.9
10,Malik NabersQ,NYGWR,1.9,11.9,-0.2,49.3,1.8,99.8
11,Ashton Jeanty,LVRB,1.6,12.6,1.3,48.2,3.5,99.6
12,Derrick Henry,BalRB,3.2,15.2,0.2,44,4.1,99.8
13,Nico Collins,HouWR,2.5,15.5,0.5,44.8,3,99.8
14,De'Von AchaneQ,MiaRB,2.1,16.1,-1.8,42.7,0.1,99.7
15,Brian Thomas Jr.,JaxWR,3.8,18.8,0.1,41.2,1.9,99.7
16,Jonathan Taylor,IndRB,3,19,0.5,38.9,2.5,99.7
17,A.J. BrownQ,PhiWR,2.2,19.2,-0.2,39.7,1.7,99.8
18,Josh Jacobs,GBRB,1.9,19.9,0.5,37.6,2.4,99.7
19,Josh Allen,BufQB,1.9,20.9,0,35.1,4.2,99.9
20,Brock Bowers,LVTE,0.9,20.9,-0.1,35.1,1.1,99.8
21,Drake London,AtlWR,1,22,0.3,37.9,2,99.5
22,Lamar JacksonQ,BalQB,1,23,-1,33.8,3.3,99.9
23,Bucky Irving,TBRB,1.5,24.5,0.7,33.9,2.3,99.5
24,Trey McBride,AriTE,2.6,26.6,-0.4,30.1,0.5,99.8
25,Chase Brown,CinRB,2.2,27.2,3.4,33.2,4.7,98.6
26,Tee Higgins,CinWR,2.1,28.1,0.2,28.8,1.2,99.5
27,Jayden Daniels,WshQB,1.4,28.4,-0.2,28.3,2.1,99.8
28,Jalen Hurts,PhiQB,1.6,29.6,0,26.9,2.3,99.8
29,Ladd McConkey,LACWR,1.9,30.9,1.7,29,1.9,98.9
30,Tyreek HillQ,MiaWR,1,31,-0.4,29.4,1.5,99.1
31,Kyren Williams,LARRB,0.8,31.8,-1.4,28.8,0.7,99.1
32,James Cook,BufRB,1.3,33.3,1.6,26.1,3.3,99.1
33,Joe Burrow,CinQB,0.9,33.9,-0.3,23.8,2.7,99.7
34,Davante Adams,LARWR,1.8,35.8,0,25,0.2,98.8
