Photo,Name,Position,Rank,%Drafted,ADP,ADP2
Photo of Ja'Marr Chase,Ja'Marr Chase,Cin - WR,1,100%,1.4,1.4
Photo of Bijan Robinson,Bijan Robinson,Atl - RB,2,100%,2.6,2.6
Photo of Saquon Barkley,Saquon Barkley,Phi - RB,3,100%,2.7,2.7
Photo of Jahmyr Gibbs,Jahmyr Gibbs,Det - RB,4,100%,4.2,4.2
Photo of Justin Jefferson,Justin Jefferson,Min - WR,5,100%,5.6,5.6
Photo of CeeDee Lamb,CeeDee Lamb,Dal - WR,6,100%,6.8,6.8
Photo of Derrick Henry,Derrick Henry,Bal - RB,11,100%,8.3,8.3
Photo of Christian McCaffrey,Christian McCaffrey,SF - RB,8,100%,8.6,8.6
Photo of Nico Collins,Nico Collins,Hou - WR,7,100%,10.1,10.1
Photo of Amon-Ra St. Brown,Amon-Ra St. Brown,Det - WR,9,100%,10.8,10.8
Photo of Ashton Jeanty,Ashton Jeanty,LV - RB,14,100%,11.9,11.9
Photo of Malik Nabers,Malik Nabers,NYG - WR,10,100%,12.8,12.8
Photo of Puka Nacua,Puka Nacua,LAR - WR,16,100%,13.4,13.4
Photo of Brian Thomas Jr.,Brian Thomas Jr.,Jax - WR,12,100%,15.9,15.9
Photo of De'Von Achane,De'Von Achane,Mia - RB,17,100%,16.5,16.5
Photo of Josh Jacobs,Josh Jacobs,GB - RB,15,100%,16.7,16.7
Photo of Jonathan Taylor,Jonathan Taylor,Ind - RB,18,100%,17.4,17.4
Photo of Drake London,Drake London,Atl - WR,13,100%,19.0,19.0
Photo of Bucky Irving,Bucky Irving,TB - RB,19,100%,20.6,20.6
Photo of Brock Bowers,Brock Bowers,LV - TE,23,100%,21.6,21.6
Photo of Lamar Jackson,Lamar Jackson,Bal - QB,26,100%,21.6,21.6
Photo of A.J. Brown,A.J. Brown,Phi - WR,21,100%,21.7,21.7
Photo of Josh Allen,Josh Allen,Buf - QB,28,100%,21.8,21.8
Photo of Ladd McConkey,Ladd McConkey,LAC - WR,22,100%,24.1,24.1
Photo of Chase Brown,Chase Brown,Cin - RB,20,100%,24.7,24.7
Photo of Kyren Williams,Kyren Williams,LAR - RB,27,100%,25.4,25.4
Photo of Trey McBride,Trey McBride,Ari - TE,24,100%,27.8,27.8
Photo of Jayden Daniels,Jayden Daniels,Was - QB,31,100%,29.0,29.0
Photo of Tee Higgins,Tee Higgins,Cin - WR,29,100%,30.1,30.1
Photo of George Kittle,George Kittle,SF - TE,25,100%,31.5,31.5
Photo of James Cook,James Cook,Buf - RB,34,100%,32.7,32.7
Photo of Jaxon Smith-Njigba,Jaxon Smith-Njigba,Sea - WR,30,100%,33.5,33.5
Photo of Jalen Hurts,Jalen Hurts,Phi - QB,35,100%,34.0,34.0
Photo of Tyreek Hill,Tyreek Hill,Mia - WR,41,100%,35.5,35.5
Photo of Mike Evans,Mike Evans,TB - WR,33,100%,36.8,36.8
Photo of Garrett Wilson,Garrett Wilson,NYJ - WR,37,100%,38.1,38.1
Photo of Omarion Hampton,Omarion Hampton,LAC - RB,32,100%,39.3,39.3
Photo of Marvin Harrison Jr.,Marvin Harrison Jr.,Ari - WR,36,100%,40.8,40.8
